Token	Occurrences	Frequency	BaselineFrequency
box	1480	0.000170966591972749	0.000290164059387921
five	1112	0.00012845597991466	0.000211209398299714
non-disintegrating	1	1.15517967549155e-07	5.0487900088377e-09
link	1131	0.000130650821298094	0.000184386859912762
one	14625	0.00168945027540639	0.00154843360297047
dshk	508	5.86831275149706e-05	2.07000390362346e-07
barrel	163	1.88294287105122e-05	1.37680503541004e-05
located	4833	0.000558298337165064	0.000292259307241588
at	154462	0.0178431363035775	0.00352455020758958
n	11135	0.00128629256865984	0.000975554132387669
e	16904	0.00195271572345091	0.000927530041823604
confiscated	319	3.68502316481803e-05	3.58295797627182e-06
rest	666	7.6934966387737e-05	8.32410838057102e-05
was	93664	0.010819874912524	0.00705693782020289
blown	787	9.09126404611847e-05	5.11947306896143e-06
place	3349	0.000386869673322119	0.000476991167804954
m	16251	0.00187728249064131	0.0011185038897679
night	1872	0.000216249635252017	0.000147347253477925
letters	247	2.85329379846412e-05	6.75831030583015e-05
distributed	1137	0.000131343929103389	3.15515716952298e-05
around	3219	0.000371852337540729	0.000307338360067984
hazarjuft	1	1.15517967549155e-07	
following	4181	0.000482980622323015	0.000325621711619988
is	55855	0.00645225607745803	0.00754811440500267
translated	91	1.05121350469731e-05	4.3086373935421e-05
version	40	4.62071870196619e-06	0.00027167707330556
letter	424	4.89796182408416e-05	8.32394008757072e-05
islamic	183	2.11397880614953e-05	4.5790842450155e-05
imarats	1	1.15517967549155e-07	
afghanistan	3594	0.000415171575371662	3.28777205375511e-05
for	49012	0.00566176662551917	0.00651932583076182
brave	18	2.07932341588478e-06	9.11643182595795e-06
warlords	41	4.73623666951534e-06	1.83775956321692e-06
salam	56	6.46900618275266e-06	1.2319047621564e-06
alaikoom	1	1.15517967549155e-07	
as	23414	0.00270473769219591	0.005871027535027
you	1113	0.000128571497882209	0.000437292531965463
know	1044	0.000120600758121317	9.20613199511497e-05
that	69716	0.00805345062565686	0.00423212298095816
land	1847	0.000213361686063289	0.000399971876220135
people	4910	0.000567193220666349	0.000967072165172821
historical	521	6.01848610931096e-05	0.000153548850538781
first	4553	0.000525953306251301	0.00205651690257985
time	10428	0.00120462136560258	0.0010641772263428
cradle	7	8.08625772844082e-07	4.76774069834574e-06
his	9635	0.0011130156173361	0.00304952470202807
child	855	9.87678622545272e-05	9.7120207540005e-05
kid	91	1.05121350469731e-05	1.84146200922341e-05
how	1503	0.000173623505226379	0.000212692059632309
to	208891	0.0241306637593105	0.0147427865825067
be	24468	0.00282649362999272	0.00237250047407297
alama-shekeb	1	1.15517967549155e-07	
arsalan	2	2.31035935098309e-07	4.71220400824852e-08
says	419	4.84020284030958e-05	6.92996916613063e-05
jihads	1	1.15517967549155e-07	3.70244600648098e-08
name	1993	0.000230227309325465	0.00376506278310059
would	6243	0.000721178671409372	0.000736164071188626
forgotten	15	1.73276951323732e-06	1.33675130133993e-05
world	126	1.45552639111935e-05	0.000980789727626833
but	10899	0.00125903032831824	0.00145655740531965
still	5160	0.000596072712553638	0.000306168723715936
from	59823	0.00691063137269308	0.00424929728163822
pamir	13	1.50173357813901e-06	9.02050481579003e-07
himalias	1	1.15517967549155e-07	
will	23965	0.00276838809231549	0.000546804153117159
fight	649	7.49711609394014e-05	6.92391061812003e-05
islam	199	2.29880755422818e-05	4.16255906928639e-05
support	8985	0.00103792893842915	0.000221083148626997
last	3768	0.000435271701725215	0.000885450060029945
century	11	1.2706976430407e-06	0.000380332083085756
warlord	26	3.00346715627802e-06	3.30864038579164e-06
abused	4	4.62071870196618e-07	3.29181108576218e-06
killed	5993	0.000692299179522084	0.000119750567289619
threatened	498	5.7527947839479e-05	2.02978187655305e-05
superpowers	1	1.15517967549155e-07	1.45068566253937e-06
like	1330	0.000153638896840376	0.000394860817801188
england	9	1.03966170794239e-06	0.000384743042623477
russia	55	6.3534882152035e-06	0.000122042717953631
broke	2798	0.000323219273202535	3.85340482774523e-05
pieces	684	7.90142898036218e-05	4.11998094021186e-05
didn	80	9.24143740393237e-06	2.4638095243128e-06
amp	25141	0.0029042372221533	4.01631245203039e-05
apos	10445	0.00120658517105092	7.40489201296197e-08
t	8312	0.000960185346268573	0.000491806000620887
give	719	8.30574186678422e-05	9.47775689759043e-05
up	11963	0.00138194144579054	0.000703799644301973
taught	77	8.89488350128491e-06	3.28322814274716e-05
their	13314	0.00153800621994944	0.00135768863350658
enemy	16697	0.00192880350416823	5.47642252258626e-05
lesson	10	1.15517967549155e-06	5.86669399026941e-06
took	3462	0.000399923203655173	0.000222214077588977
freedom	245	2.83019020495429e-05	6.89159836206347e-05
themselves	437	5.04813518189806e-05	9.01141699377412e-05
poor	538	6.21486665414452e-05	5.98264786747239e-05
muslim	94	1.08586889496205e-05	4.17669568131114e-05
individuals	2533	0.000292607011802009	0.00010924571821123
all	13797	0.00159380139827569	0.00117428797057554
over	6713	0.000775472116157475	0.000811333822700207
kindness	5	5.77589837745773e-07	2.4856876143511e-06
god	87	1.00500631767765e-05	0.000131855882800808
mercy	118	1.36311201708002e-05	1.00117505875252e-05
taliban	3663	0.000423142315132553	4.65835024815426e-06
s	55051	0.00635937963154851	0.00410176658878998
ruled	21	2.42587731853225e-06	3.4560650540497e-05
an	44581	0.00514990651130886	0.00290223803403025
environment	139	1.60569974893325e-05	6.95117408416775e-05
brought	2283	0.00026372751991472	9.67634263793805e-05
peace	396	4.57451151494652e-05	8.85759719150487e-05
law	354	4.08933605124007e-05	0.000315169033371691
kaf-	4	4.62071870196618e-07	1.00975800176754e-08
bde	414	4.782443856535e-05	1.04678246183235e-06
summit	80	9.24143740393237e-06	2.67754163468693e-05
reports	21998	0.0025411642501463	5.99442837749301e-05
tic	13269	0.00153280791140973	2.23493104391216e-06
salute	50	5.77589837745773e-06	4.61291113807472e-06
follow	2955	0.000341355594107752	4.32159595456478e-05
s-	2536	0.000292953565704656	1.67720804093589e-05
acm	6079	0.000702233724731311	6.47591465133583e-06
a-	3009	0.000347593564355406	2.30914825704207e-05
small	7706	0.000890181457933786	0.00100965029424735
arms	6015	0.000694840574808165	9.46378857856598e-05
fires	1233	0.000142433653988108	1.32362444731695e-05
l-wb	23	2.65691325363056e-06	
t-	2673	0.00030877952725889	1.87343767927938e-05
z	129171	0.0149215713862919	0.000123259476345761
bda	18992	0.00219391723969354	1.48771012260418e-06
update	31075	0.00358972084158998	2.12520400772008e-05
reporting	2493	0.000287986293100043	1.78794483512973e-05
indicates	512	5.91451993851672e-05	2.08498198064968e-05
possibly	1328	0.000153407860905277	4.63495752111331e-05
suspected	3762	0.00043457859391992	1.26135603720795e-05
kia	7660	0.000884867631426524	3.74956804656347e-06
geronimo	544	6.28417743467401e-05	1.27397801223005e-06
follows	2551	0.000294686335217893	4.8655189315169e-05
l	16455	0.00190084815602134	0.000476496386384088
swb	1211	0.000139892258702026	5.26757090922067e-07
u	11314	0.00130697028485114	0.000967755434754017
unk	6958	0.000803774018207018	6.56342701148902e-07
uxo	5530	0.000638814360546825	1.49780770262185e-07
rds	2842	0.000328302063774697	1.42880757250107e-06
jan	2056	0.000237504941281062	0.000139370165263962
two	10392	0.00120046271877081	0.00106871608856074
separate	679	7.8436699965876e-05	8.27917414949236e-05
incidents	351	4.05468066097533e-05	1.52507116866958e-05
possible	9993	0.0011543710497187	0.000134765668775902
surveillance	110	1.2706976430407e-05	9.04743169583717e-06
noted	542	6.26107384116418e-05	7.28506739675222e-05
during	6082	0.000702580278633958	0.000800596729281413
ambassadors	23	2.65691325363056e-06	6.37830471116497e-06
travel	1019	0.000117712808932589	7.01714494028323e-05
constitutional	15	1.73276951323732e-06	3.30830379979105e-05
loya	11	1.2706976430407e-06	2.94512750515533e-07
jirga	157	1.81363209052173e-05	3.95488550692287e-07
clj	3	3.46553902647464e-07	3.87073900677557e-08
occurred	1532	0.000176973526285305	4.54475247295541e-05
while	20585	0.00237793736199935	0.000536753695139566
traveling	1445	0.000166923463108528	1.57303467375353e-05
embassy	260	3.00346715627802e-05	2.32025559506151e-05
after	7332	0.000846977738070402	0.00127963770582995
motorcade	9	1.03966170794239e-06	5.08244860889662e-07
passed	1212	0.000140007776669575	7.14858177351331e-05
checkpoint	1495	0.000172699361485986	1.77717408311087e-06
along	4929	0.000569388062049783	0.000258487950872473
arzan	16	1.84828748078647e-06	3.3658600058918e-09
road	11133	0.00128606153272474	0.000284859464018635
next	3783	0.000437004471238452	0.000224652643163245
major	1281	0.000147978516430467	0.000365311932809464
traffic	1772	0.000204697838497102	6.29483138301885e-05
circle	142	1.640355139198e-05	4.90439461458495e-05
white	4135	0.000477666795815754	0.0004137197314142
toyota	802	9.2645409974422e-05	2.11392837670035e-05
corolla	507	5.85676095474214e-05	1.74856427306079e-06
vehicle	15935	0.00184077881289578	6.68678578070495e-05
license	112	1.29380123655053e-05	3.94310499690225e-05
plate	4085	0.000471890897438297	3.14792057051031e-05
number	5772	0.00066676970869372	0.000528345776844848
with	88056	0.0101720501505084	0.005011822768393
males	611	7.05814781725335e-05	0.00020168401448304
inside	2581	0.000298151874244368	7.95470524492439e-05
began	2107	0.000243396357626069	0.000258425682462364
convoy	7616	0.000879784840854362	9.4227250864941e-06
followed	1209	0.000139661222766928	0.00012185927858331
until	2139	0.000247092932587642	0.0003949247691413
british	399	4.60916690521127e-05	0.000554890631781314
turned	3026	0.000349557369803742	6.76285421683811e-05
towards	2106	0.00024328083965852	8.69906518522737e-05
intercontinental	8	9.24143740393237e-07	6.95554970217541e-06
hotel	163	1.88294287105122e-05	5.89681843732214e-05
continued	7328	0.000846515666200205	0.000137774747621169
straight	136	1.5710443586685e-05	3.67551912643385e-05
made	3082	0.000356026375986495	0.00061055354162875
u-turn	12	1.38621561058986e-06	6.37830471116497e-07
traveled	625	7.21987297182216e-05	1.59238836878741e-05
back	8274	0.000955795663501705	0.000305968455045586
through	5018	0.000579669161161658	0.00050142226265772
same	2565	0.000296303586763582	0.000389891125502489
neighborhood	47	5.42934447481027e-06	3.02624473129732e-05
via	1248	0.000144166423501345	0.000103108072490487
different	828	9.56488771307e-05	0.000257427704970617
route	6573	0.000759299600700593	0.000248634395705225
this	24682	0.00285121447504823	0.00247989328635095
went	3384	0.000390912802186339	0.000150682820743764
checkpoints	311	3.59260879077871e-05	8.83538251546598e-07
then	6609	0.000763458247532363	0.000559737470189798
appliance	2	2.31035935098309e-07	2.3392727040948e-06
shop	302	3.48864261998447e-05	3.29248425776336e-05
men	1950	0.000225260036720852	0.000186822059627025
got	942	0.000108817925431304	7.53094347018262e-05
out	10524	0.0012157110904873	0.000728868569625855
car	1291	0.000149133696105959	0.000158422615827312
into	7669	0.000885907293134467	0.000889561458027142
approximately	6178	0.000713670003518677	8.43821103477075e-05
thirty	91	1.05121350469731e-05	1.80376437715742e-05
minutes	1338	0.000154563040580769	7.55450449022386e-05
exited	152	1.75587310674715e-05	1.42712464249812e-06
placed	2119	0.000244782573236659	9.63578402486705e-05
large	1898	0.000219253102408295	0.000304349476382752
various	649	7.49711609394014e-05	0.000209393516826535
packing	104	1.20138686251121e-05	3.2446890456797e-06
foam	69	7.97073976089167e-06	3.92964155687868e-06
wrapping	93	1.07431709820714e-05	1.59036885278388e-06
materials	770	8.89488350128491e-05	5.28995387825985e-05
trunk	45	5.19830853971196e-06	1.07219470487683e-05
departed	1434	0.000165652765465488	1.41753194148133e-05
area	25179	0.00290862690492016	0.00140814119206489
second	3911	0.000451790771084744	0.000464525705273134
incident	5030	0.000581055376772248	3.86619509576762e-05
occured	223	2.57605067634615e-05	2.97878610521425e-07
german	170	1.96380544833563e-05	0.000330995307119394
another	2851	0.00032934172548264	0.000321718996943156
four	2675	0.000309010563193989	0.000317797770036292
ten	370	4.27416479931872e-05	9.87442349928478e-05
seconds	209	2.41432552177733e-05	3.14051567849735e-05
behind	1256	0.000145090567241738	9.66489871391802e-05
left	4438	0.000512668739983148	0.000829039929261201
turn	1027	0.000118636952672982	8.26470095146703e-05
near	4307	0.000497535886234209	0.000230995606344349
kabul	3676	0.000424644048710692	4.47154501782726e-06
compound	6756	0.000780439388762089	1.89800845732239e-05
journalists	53	6.1224522801052e-06	1.46701008356794e-05
union	30	3.46553902647464e-06	0.000288582105185151
jua	3	3.46553902647464e-07	9.59270101679164e-08
field	1289	0.00014890266017086	0.000221059587606956
comment--	5	5.77589837745773e-07	2.69268800471344e-07
afghan	4274	0.000493723793305087	9.17870023606695e-06
agency	174	2.01001263535529e-05	6.38924375618412e-05
which	6849	0.00079118255974416	0.00226222648562994
directly	575	6.64228313407639e-05	7.33639676184207e-05
shares	22	2.5413952860814e-06	2.2398115409207e-05
common	226	2.61070606661089e-05	0.000233060561457963
wall	1945	0.000224682446883106	6.87106661602753e-05
home	746	8.61764037916694e-05	0.000390261370103137
belongs	73	8.43281163108829e-06	1.2413291701729e-05
former	530	6.1224522801052e-05	0.000328137691974392
president	495	5.71813939368315e-05	0.000361678486933104
rabanni	5	5.77589837745773e-07	
when	10573	0.00122137147089721	0.000984983589194174
parked	221	2.55294708283632e-05	2.22988225390332e-06
subject	607	7.01194063023369e-05	0.000105317759584355
entered	592	6.83866367890995e-05	5.95689903842731e-05
driver	1921	0.000221910015661926	5.21910252513583e-05
talking	610	7.04659602049843e-05	2.01093306052006e-05
cellular	38	4.38968276686788e-06	1.05906785085386e-05
phone	1148	0.00013261462674643	2.75091738281537e-05
subjects	89	1.02810991118748e-05	3.14691081250854e-05
remained	587	6.78090469513538e-05	9.86886983027506e-05
cjsotf	4800	0.000554486244235942	1.00975800176754e-08
rockets	6081	0.000702464760666409	1.14439240200321e-05
fired	13155	0.00151963886310913	2.73307832478414e-05
ivo	13393	0.00154713213938583	2.35778493412721e-06
firebase	214	2.47208450555191e-05	7.23659901266738e-08
chapman	312	3.60416058753362e-05	1.27347313322916e-05
reported	79320	0.00916288518599894	7.96362477394001e-05
rocket	7456	0.000861301966046497	3.39346005794012e-05
attack	8931	0.0010316909681815	0.000126891239292118
fire	33268	0.00384305174442528	0.000160134155640308
base	4535	0.000523873982835416	0.00013253073773199
unkn	18	2.07932341588478e-06	8.41465001472951e-09
zjan	649	7.49711609394014e-05	
oda	1368	0.000158028579607244	3.25815248570327e-06
amf	218	2.51829169257157e-05	5.73879131004553e-07
qrf	8363	0.00096607676261358	6.05854801060525e-08
are	29490	0.00340662486302457	0.00263046166785452
going	2800	0.000323450309137633	8.30694249454097e-05
investigate	2446	0.000282556948625232	1.03971415581998e-05
poi	2743	0.000316865784987331	7.05147671234333e-07
observed	10433	0.00120519895544033	3.07504970138275e-05
impact	1681	0.000194185703450129	5.74855230406261e-05
well	3865	0.000446476944577483	0.000458647230772844
north	6560	0.000757797867122454	0.000705814111515499
launched	1208	0.000139545704799379	7.62552413634818e-05
min	836	9.65730208710933e-05	4.4701986738249e-05
later	2509	0.000289834580580829	0.000581788902018398
not	23636	0.00273038268099182	0.00176042892958156
no	59606	0.00688556397373491	0.00124739949869352
injuries	8572	0.000990220017831354	1.76421552208819e-05
personnel	6994	0.000807932665038787	5.38891016243307e-05
or	26871	0.00310408330601333	0.00262267306780088
damage	24360	0.00281401768949741	5.30526854128666e-05
equipment	4730	0.000546399986507501	6.87678857803754e-05
sigact	804	9.28764459095203e-05	8.07806401414033e-08
remarks	2981	0.00034435906126403	1.10921916494164e-05
change	671	7.75125562254828e-05	0.000167227705602725
classification	214	2.47208450555191e-05	3.75613147357496e-05
contact	13266	0.00153246135750709	5.17888049806542e-05
fdo	67	7.73970382579336e-06	4.20732500736475e-08
additional	3595	0.000415287093339211	9.30744438129231e-05
information	6154	0.000710897572297498	0.000416417468208922
kaf	2711	0.000313169210025758	2.74317590480182e-07
prt	18399	0.0021254150849369	1.13766068199143e-06
finding	1063	0.000122795599504751	2.77935889986516e-05
site	23586	0.00272460678261436	0.000279516161259282
marshall	21	2.42587731853225e-06	4.04559543408165e-05
report	20536	0.00237227698158944	0.00015672453945434
rkt	85	9.81902724167814e-06	8.07806401414033e-08
type	8286	0.000957181879112295	0.000805877763630657
unknown	8500	0.000981902724167814	6.98348634022431e-05
l-	2119	0.000244782573236659	7.26184296271157e-06
vic	5209	0.000601733092963546	1.64237138987491e-05
rqr	356	4.11243964474991e-05	6.73172001178361e-09
u-	1006	0.00011621107535445	2.02742577454893e-05
e-	141	1.62880334244308e-05	1.22315352614108e-05
element	7545	0.000871583065158372	5.02792167680118e-05
securing	747	8.62919217592185e-05	5.77581577011033e-06
scene	4005	0.000462649460034364	7.41532617898023e-05
meters	2617	0.000302310521076138	2.59322684153934e-05
aimed	279	3.22295129462141e-05	1.66997144192322e-05
eod	22539	0.0026036594705904	6.32781681107659e-07
responding	578	6.67693852434114e-05	4.4362034877654e-06
has	18766	0.00216781017902744	0.00168062102298186
been	13761	0.00158964275144392	0.00105745728684104
notified	1914	0.000221101389889082	2.34768735410953e-06
taken	3471	0.000400962865363116	0.000151919774295929
tf	45381	0.00524232088534819	6.68459797170112e-06
pir	342	3.95071449018109e-05	2.11039422369416e-06
ne	1677	0.000193723631579932	4.40978148671915e-05
khowst	1563	0.000180554583279329	2.52439500441885e-08
pistols	126	1.45552639111935e-05	5.14471701900562e-06
fuses	697	8.05160233817608e-05	1.18814858207981e-06
handgrenades	8	9.24143740393237e-07	1.17805100206213e-08
sxb	64	7.3931499231459e-06	1.51463700265131e-08
three	3751	0.000433307896276879	0.000522901498285318
caches	382	4.41278636037771e-05	1.51968579266015e-06
south	10810	0.00124874922920636	0.000697254729520516
orgun-e	982	0.00011343864413327	3.3658600058918e-09
currently	5051	0.00058348125409078	0.000139518263104221
searching	1003	0.000115864521451802	1.08919229790659e-05
mines	1762	0.00020354265882161	1.88656453330236e-05
cases	389	4.49364893766211e-05	9.54238140970356e-05
boosters	202	2.33346294449292e-05	1.39178311243626e-06
heat	624	7.20832117506725e-05	5.19924395110107e-05
tabs	13	1.50173357813901e-06	1.83607663321398e-06
claymores	37	4.27416479931872e-06	2.94512750515533e-07
destroyed	5005	0.000578167427583519	5.86046714925851e-05
ctf	209	2.41432552177733e-05	4.19049570733529e-07
warrior	1609	0.00018586840978659	1.91854020335833e-05
weapon	1562	0.00018043906531178	4.1997518223515e-05
u-unk	15	1.73276951323732e-06	
e-found	1	1.15517967549155e-07	
pencil	22	2.5413952860814e-06	3.67215326642796e-06
timers	58	6.70004211785097e-06	6.34464611110605e-07
dynamite	50	5.77589837745773e-06	3.58632383627772e-06
third	914	0.000105583422339927	0.000222476614669436
orgune	40	4.62071870196619e-06	
rpg-	239	2.7608794244248e-05	6.34464611110605e-07
front-line	2	2.31035935098309e-07	9.79465261714515e-07
artillery	1377	0.000159068241315186	3.31806479380814e-05
mtrs	102	1.17828326900138e-05	2.86098100500803e-08
mtr	314	3.62726418104346e-05	4.69874056822496e-06
rnd	887	0.0001024644372161	6.66440281166577e-07
us	10782	0.00124551472611499	0.000536726768259519
rolls	63	7.27763195559674e-06	7.83235623371023e-06
det	1827	0.000211051326712306	9.62299375684467e-06
cord	1385	0.000159992385055579	7.57655087326245e-06
land-mine	1	1.15517967549155e-07	5.0487900088377e-09
blasting	982	0.00011343864413327	1.10400208193251e-06
caps	508	5.86831275149706e-05	3.4094478929681e-05
cjsotf-	1	1.15517967549155e-07	
deh	649	7.49711609394014e-05	7.01781811228441e-07
rawood	77	8.89488350128491e-06	6.73172001178361e-09
team	12854	0.00148486795487683	0.000452034998791269
heard	1201	0.000138737079026535	4.37898386766524e-05
rawod	196	2.26415216396343e-05	8.41465001472951e-09
moved	4779	0.00055206036691741	0.000152409506926787
source	2507	0.000289603544645731	0.000231843803065833
cjtf-	360	4.15864683176957e-05	1.51463700265131e-08
authorized	194	2.2410485704536e-05	1.28626340125155e-05
both	4763	0.000550212079436624	0.000513376114468644
rotary	179	2.06777161912987e-05	6.25040203094108e-06
wing	320	3.69657496157295e-05	6.37308762815583e-05
fixed	325	3.75433394534753e-05	3.84532676373109e-05
cas	7870	0.000909126404611847	6.29752407102356e-06
forces	13366	0.001544013154262	0.000180310803445627
secured	2829	0.000326800330196558	1.26051457220648e-05
outside	2529	0.000292144939931812	0.000113378994298465
wile	2	2.31035935098309e-07	6.9589155621813e-06
cleared	2356	0.000272160331545808	9.93096994738377e-06
received	11081	0.00128005459841218	0.000169535002636764
direct	1609	0.00018586840978659	8.02892245805431e-05
returned	12323	0.00142352791410823	0.000125117431069013
commenced	103	1.18983506575629e-05	9.87206739728066e-06
clearing	1252	0.000144628495371542	6.55837822148018e-06
friendly	9166	0.00105883769055555	2.35155809311631e-05
casualties	18864	0.00217913093984725	2.42577530624622e-05
detained	2860	0.000330381387190582	3.78490957662533e-06
ln	11464	0.00132429797998351	1.20817544911486e-05
identified	3171	0.000366307475098369	4.23341042241042e-05
firing	3899	0.000450404555474154	1.71759836100659e-05
wounded	5178	0.000598152035969523	2.89699570707108e-05
it	17999	0.00207920789791723	0.00362896423376236
undetermined	172	1.98690904184546e-05	1.04678246183235e-06
he	28727	0.00331848465378457	0.00320503416602028
medevac	12176	0.00140654677287851	3.80342180665774e-07
d	49524	0.00572091182490433	0.000977041842510273
individual	2292	0.000264767181622662	9.33605419134239e-05
detainees	1781	0.000205737500205044	2.92998113512881e-06
siezed	6	6.93107805294928e-07	1.17805100206213e-08
ied	42312	0.00488779624293983	5.14976580901446e-07
numerous	503	5.81055376772248e-05	8.18307884632415e-05
ak-	1915	0.000221216907856631	3.10668878543813e-06
magazines	319	3.68502316481803e-05	2.22348711989213e-05
fragmentation	503	5.81055376772248e-05	2.73644418479004e-06
grenades	1150	0.000132845662681528	2.32580926407124e-06
least	684	7.90142898036218e-05	0.000125507870829697
dead	560	6.46900618275266e-05	0.000107350739027913
truck	4860	0.000561417322288891	2.35307273011896e-05
bomb	1255	0.000144975049274189	3.41954547298578e-05
kandahar	5256	0.000607162437438357	1.96061345343198e-06
af	371	4.28571659607364e-05	3.9693587049482e-05
video	174	2.01001263535529e-05	0.000236004006033116
sarobi	325	3.75433394534753e-05	1.85122300324049e-08
government	3325	0.000384097242100939	0.000607830560883983
discovered	5299	0.00061212971004297	6.56325871848872e-05
room	638	7.37004632963607e-05	7.58597528127895e-05
governor	7568	0.000874239978412002	0.000134674790555743
mission	14075	0.00162591539325435	9.89209426431572e-05
provide	3051	0.000352445318992471	0.000101184483497119
medical	2184	0.000252291241127354	0.00011736922133545
veterinary	47	5.42934447481027e-06	6.50284153138296e-06
humanitarian	292	3.37312465243531e-05	8.212698414376e-06
aid	821	9.48402513578559e-05	5.69537171596952e-05
assistance	2101	0.000242703249820774	2.6379927796177e-05
consisted	2255	0.000260493016823344	2.71220999274762e-05
front	2323	0.000268348238616686	0.000143717173461571
line	27781	0.00320920465648306	0.000482289031454228
round	6474	0.000747863321913227	0.00012262501173465
mfg	1	1.15517967549155e-07	4.12317850721746e-07
trip	774	8.94109068830457e-05	2.85424928499625e-05
wire	5886	0.000679938756994324	2.19958951385029e-05
tnt	245	2.83019020495429e-05	3.74620218655758e-06
mine	6434	0.000743242603211261	3.21742557963197e-05
booster	103	1.18983506575629e-05	4.44461813778013e-06
m-	280	3.23450309137633e-05	1.82951320620249e-05
mouse	12	1.38621561058986e-06	1.91264994834802e-05
traps	32	3.69657496157295e-06	3.40288446595661e-06
i	5170	0.000597227892229129	0.00140585240726089
pencils	34	3.92761089667126e-06	1.56849076274558e-06
green	2091	0.000241548070145282	0.000199985938110067
yellow	1522	0.000175818346609813	6.1906580158365e-05
red	2857	0.000330034833287935	0.000257380582930534
squibs	3	3.46553902647464e-07	1.53146630268077e-07
oz	50	5.77589837745773e-06	1.75697892307552e-05
striker	12	1.38621561058986e-06	6.13091400073192e-06
mk-	484	5.59106962937908e-05	1.03500195181173e-06
italian	407	4.70158127925059e-05	0.000140645826206195
tc-	469	5.41779267805535e-05	2.81049310491966e-07
pakistani	518	5.98383071904621e-05	9.12652940597562e-06
tm-	72	8.31729366353913e-06	1.87310109327879e-06
rel	7677	0.00088683143687486	2.13058938372951e-06
isaf	28688	0.00331397945305015	1.0669776218677e-06
mayor	374	4.32037198633838e-05	0.000105955590055471
mohammad	1299	0.000150057839846352	8.40960122472067e-06
gul	1025	0.000118405916737883	1.05688004185003e-06
chief	4492	0.000518906710230803	0.000140140947205311
police	6314	0.000729380447105362	0.00014031765485562
abdul	1540	0.000177897670025698	1.11780210795667e-05
baqi	47	5.42934447481027e-06	6.05854801060525e-08
absent	71	8.20177569598998e-06	9.10970010594617e-06
reportedly	498	5.7527947839479e-05	1.77246187910262e-05
sharona	323	3.73123035183769e-05	1.75024720306374e-07
gowmal	1	1.15517967549155e-07	
habib	84	9.70350927412899e-06	1.71658860300482e-06
ullah	168	1.9407018548258e-05	1.3968319024451e-07
officer	1558	0.000179976993441583	9.24450279918213e-05
nemat	4	4.62071870196618e-07	8.41465001472951e-09
command	2133	0.000246399824782347	0.000104822978163488
department	997	0.000115171413646507	0.000197695470376058
said	4931	0.000569619097984881	0.000222690346779811
knew	249	2.87639739197395e-05	2.54593650845656e-05
sageen	1	1.15517967549155e-07	
naka	311	3.59260879077871e-05	1.25546578219764e-06
dawlat	25	2.88794918872887e-06	5.89025501031066e-08
khan	2392	0.000276318978377578	3.70345576448275e-05
paktika	2240	0.000258760247310106	1.17805100206213e-07
province	9314	0.00107593434975283	0.000171768250750673
khuorjana	1	1.15517967549155e-07	
ali	939	0.000108471371528656	3.73189728153254e-05
jalali	11	1.2706976430407e-06	1.69975930297536e-07
they	33167	0.00383138442970281	0.00120667090969223
scared	104	1.20138686251121e-05	2.66576112466631e-06
gone	367	4.23950940905398e-05	3.4124771669734e-05
asked	2497	0.000288448364970239	6.03549186956489e-05
declaring	55	6.3534882152035e-06	6.91179352209882e-06
did	7101	0.000820293087566547	0.000305280136674381
